,full_video_name,lat
0,AsuMayoTest_clean:testVD13,0.0
1,AsuMayoTest_clean:testVD6,0.1297208538587849
2,AsuMayoTest_clean:testVD8,3.8776119402985074
3,AsuMayoTrain_clean:ShortVD4,0.01978021978021978
4,AsuMayoTrain_clean:ShortVD68,0.2698412698412698
5,AsuMayoTrain_clean:ShortVD69,10.651982378854626
6,ELI:ShortVD010085,1.462962962962963
7,ELI:ShortVD010086,37.66970802919708
8,ELI:ShortVD010090,0.2922465208747515
9,ELI:ShortVD010096,0.07692307692307693
10,ELI:ShortVD020084,9.991525423728813
11,ELI:ShortVD030090,0.0
12,ELI:ShortVD040090,7.77542372881356
13,ELI:ShortVD050085,0.1111111111111111
